DATE,VALUE
1971-01-01,3.62700
1971-04-01,3.64021
1971-07-01,3.64806
1971-10-01,3.64806
1972-01-01,3.66612
1972-04-01,3.67630
1972-07-01,3.69138
1972-10-01,3.70130
1973-01-01,3.74950
1973-04-01,3.79549
1973-07-01,3.83730
1973-10-01,3.84374
1974-01-01,3.91002
1974-04-01,3.94352
1974-07-01,4.01277
1974-10-01,4.04655
1975-01-01,4.04655
1975-04-01,4.05699
1975-07-01,4.07754
1975-10-01,4.08933
1976-01-01,4.09268
1976-04-01,4.10923
1976-07-01,4.12066
1976-10-01,4.12875
1977-01-01,4.15104
1977-04-01,4.17439
1977-07-01,4.17592
1977-10-01,4.18814
1978-01-01,4.21213
1978-04-01,4.24133
1978-07-01,4.25703
1978-10-01,4.27944
1979-01-01,4.31482
1979-04-01,4.35028
1979-07-01,4.38078
1979-10-01,4.41522
1980-01-01,4.46014
1980-04-01,4.48074
1980-07-01,4.51305
1980-10-01,4.53582
1981-01-01,4.56539
1981-04-01,4.58802
1981-07-01,4.59411
1981-10-01,4.59310
1982-01-01,4.60217
1982-04-01,4.60317
1982-07-01,4.60717
1982-10-01,4.60817
1983-01-01,4.60916
1983-04-01,4.61215
1983-07-01,4.62203
1983-10-01,4.62693
1984-01-01,4.63764
1984-04-01,4.64439
1984-07-01,4.64247
1984-10-01,4.63957
1985-01-01,4.63764
1985-04-01,4.63860
1985-07-01,4.63181
1985-10-01,4.63764
1986-01-01,4.62203
1986-04-01,4.60317
1986-07-01,4.59915
1986-10-01,4.60217
1987-01-01,4.61413
1987-04-01,4.62986
1987-07-01,4.64150
1987-10-01,4.64631
1988-01-01,4.65205
1988-04-01,4.66814
1988-07-01,4.68213
1988-10-01,4.68675
1989-01-01,4.70863
1989-04-01,4.72562
1989-07-01,4.72206
1989-10-01,4.72562
1990-01-01,4.74057
1990-04-01,4.73883
1990-07-01,4.75789
1990-10-01,4.78666
1991-01-01,4.76644
1991-04-01,4.75617
1991-07-01,4.75445
1991-10-01,4.75531
1992-01-01,4.75273
1992-04-01,4.76388
1992-07-01,4.76984
1992-10-01,4.76899
1993-01-01,4.77407
1993-04-01,4.78332
1993-07-01,4.77828
1993-10-01,4.77828
1994-01-01,4.78248
1994-04-01,4.78749
1994-07-01,4.79579
1994-10-01,4.79909
1995-01-01,4.81543
1995-04-01,4.82751
1995-07-01,4.82991
1995-10-01,4.83231
1996-01-01,4.83866
1996-04-01,4.85047
1996-07-01,4.85359
1996-10-01,4.85515
1997-01-01,4.85593
1997-04-01,4.84576
1997-07-01,4.84576
1997-10-01,4.84812
1998-01-01,4.82831
1998-04-01,4.82751
1998-07-01,4.82270
1998-10-01,4.81624
1999-01-01,4.80893
1999-04-01,4.82431
1999-07-01,4.84340
1999-10-01,4.85125
2000-01-01,4.86445
2000-04-01,4.88280
2000-07-01,4.89635
2000-10-01,4.90897
2001-01-01,4.92580
2001-04-01,4.91412
2001-07-01,4.89335
2001-10-01,4.86291
2002-01-01,4.85904
2002-04-01,4.87367
2002-07-01,4.88053
2002-10-01,4.89110
2003-01-01,4.92725
2003-04-01,4.92144
2003-07-01,4.92798
2003-10-01,4.93591
2004-01-01,4.95723
2004-04-01,4.98566
2004-07-01,4.99518
2004-10-01,5.01396
2005-01-01,5.02454
2005-04-01,5.04019
2005-07-01,5.06702
2005-10-01,5.10169
2006-01-01,5.09252
2006-04-01,5.10837
2006-07-01,5.11620
2006-10-01,5.10048
2007-01-01,5.11620
2007-04-01,5.15213
2007-07-01,5.15733
2007-10-01,5.17841
2008-01-01,5.21439
2008-04-01,5.27811
2008-07-01,5.30081
2008-10-01,5.18178
2009-01-01,5.13285
2009-04-01,5.14342
2009-07-01,5.15848
2009-10-01,5.17558
2010-01-01,5.20456
2010-04-01,5.21602
2010-07-01,5.21819
2010-10-01,5.23644
2011-01-01,5.27760
2011-04-01,5.31665
